TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,TransactionType,Channel,CustomerOccupation,Cluster
-1.0743605939871135,1.4237182648914388,-0.5524432626288954,-0.0005366350524105572,Debit,ATM,Doctor,2
0.36264502466751347,1.3112870641052807,0.30531436617680696,2.2164715868484435,Debit,ATM,Doctor,2
-0.6291527231793013,-1.4432773551555913,-0.9098422746312714,-1.0235341282270716,Debit,Online,Student,1
-0.39817634029407195,-1.049768152404038,-1.3530170495142178,0.8857974429054191,Debit,Online,Student,0
-1.0769001041236286,-1.049768152404038,1.1201841135422241,0.5935893646592064,Credit,Online,Student,1
-0.7646197170240313,-1.4994929555486702,0.7484891410597533,-1.1108816933044958,Debit,ATM,Student,1
-1.102176165951131,-0.4313965480801689,0.2767224452166169,2.103091796208713,Credit,ATM,Doctor,2
-0.4500775787091003,1.2550714637122018,2.4497084381910628,-0.5943498275623533,Credit,Branch,Retired,3
-0.7087504940206979,0.3556218574229374,-0.4809634602284203,1.0206840106570008,Credit,Branch,Engineer,0
2.1074472078369526,0.5804842589952535,0.005099196094811121,-1.049294570483005,Debit,ATM,Doctor,3
-1.059718730856268,0.41183745781601644,-0.8669543931909863,0.6372080213386072,Credit,Online,Engineer,0
-0.37627306536662875,-1.3308461543694332,0.7627851015398482,-0.9193180502003306,Debit,Online,Student,1
0.8319782417722194,-1.1621993531901962,-0.12356444822604423,-0.895931865884976,Credit,Branch,Student,1
1.9717421349169244,-1.049768152404038,0.04798707753509624,-1.2626675419268705,Debit,ATM,Student,1
-0.46765575043529106,-1.4994929555486702,0.20524264281614168,-1.2344020780640845,Debit,Online,Student,1
0.7166289297901953,-0.4876121484732479,0.1337628404156665,-0.42274174552894833,Debit,ATM,Engineer,3
1.0751363373435445,-1.4432773551555913,0.5483456943384226,-1.021249610057465,Credit,Branch,Student,1
0.8256691462768146,-0.3189653472940108,1.6348386908256456,-0.0011109695866325644,Debit,Online,Engineer,3
-1.0561475447267938,0.8053466605675696,-0.19504425062651945,0.7266529330633243,Credit,Branch,Retired,0
-0.8466379584642939,-1.4994929555486702,0.7056012596194681,0.37287824394327174,Credit,Online,Student,1
-0.8948886510580818,1.4799338652845178,-1.1671695632729822,0.16322049901765526,Debit,Branch,Retired,0
-0.7899354586974168,-0.3751809476870899,-0.38089173686775496,1.0337731972516602,Debit,Branch,Doctor,2
-0.9231407013268129,-0.3189653472940108,0.005099196094811121,0.9898622453182356,Debit,Online,Engineer,0
0.24201829318304377,-1.2746305539763543,0.319610326656902,-0.9517038515474685,Debit,Online,Student,1
-0.5527690198544316,-1.3308461543694332,-0.33800385542746986,-0.8162070533532758,Debit,Online,Student,1
-1.1005492922699258,1.1426402629260437,2.2352690309896373,-0.3793769242017262,Credit,Online,Retired,3
-0.15045506244619578,-1.2184149535832751,0.5483456943384226,-1.138657434417119,Debit,ATM,Student,1
-0.9702803582358753,-0.4313965480801689,-0.35229981590756493,-0.6224819637654089,Debit,Branch,Engineer,0
-0.6245498610568676,-0.03788734532861574,1.1058881530621292,-0.8569489093746535,Debit,Online,Doctor,3
-0.9073878025112423,-0.9935525520109592,2.3353407543503026,-0.9647315022991751,Debit,Branch,Student,1
-1.0179358531414175,0.8053466605675696,-1.424496851914693,0.8256487204129397,Credit,Online,Doctor,2
-0.8956822479757428,-0.8811213512248011,1.9636457818678317,1.2074709339519887,Debit,ATM,Doctor,3
0.44283799319715583,0.24319065663677936,0.6913052991393731,1.1732441853031925,Debit,ATM,Engineer,3
2.3528670546236117,-1.2746305539763543,0.4339780104976623,-1.2090005948920401,Debit,Online,Student,1
-0.11740175082561584,0.01832825506446328,-0.9956180375118417,2.487475439210654,Credit,Branch,Doctor,2
-0.6352237395994079,0.24319065663677936,-1.067097839912317,0.16676650196778522,Debit,Branch,Engineer,0
-0.8202508609520663,-1.049768152404038,0.3624982080971871,-1.0803881191281433,Debit,Branch,Student,1
1.4460635366582886,1.704796266856834,0.24813052425642682,-0.06113662039320735,Debit,ATM,Retired,3
2.025508326088456,1.1988558633191226,-0.4237796183080401,0.7180661189780133,Debit,ATM,Doctor,2
0.20150517053645062,0.5804842589952535,1.377511402183935,-1.0499330048536357,Debit,Online,Retired,3
0.1730944008841875,1.0302090621398856,-0.009196764385283919,-0.20272033905277123,Debit,ATM,Retired,0
-0.9952786611421962,-0.3751809476870899,-1.438792812394788,2.3332794367393115,Debit,Online,Doctor,2
